Generated by opendatacommunities.org,2013-09-06T16:43:01+01:00
http://opendatacommunities.org/data/societal-wellbeing/deprivation/imd-rank-la-2010,"Index of Multiple Deprivation 2010, Local Authority District Rank of Average Rank"

,,http://reference.data.gov.uk/id/year/2010
http://statistics.data.gov.uk/id/statistical-geography/E07000032,E07000032 Amber Valley,159
http://statistics.data.gov.uk/id/statistical-geography/E07000033,E07000033 Bolsover,43
http://statistics.data.gov.uk/id/statistical-geography/E07000034,E07000034 Chesterfield,91
http://statistics.data.gov.uk/id/statistical-geography/E07000035,E07000035 Derbyshire Dales,232
http://statistics.data.gov.uk/id/statistical-geography/E07000036,E07000036 Erewash,150
http://statistics.data.gov.uk/id/statistical-geography/E07000037,E07000037 High Peak,191
http://statistics.data.gov.uk/id/statistical-geography/E07000038,E07000038 North East Derbyshire,176
http://statistics.data.gov.uk/id/statistical-geography/E07000039,E07000039 South Derbyshire,221
http://statistics.data.gov.uk/id/statistical-geography/E07000040,E07000040 East Devon,209
http://statistics.data.gov.uk/id/statistical-geography/E07000041,E07000041 Exeter,139
http://statistics.data.gov.uk/id/statistical-geography/E07000042,E07000042 Mid Devon,155
http://statistics.data.gov.uk/id/statistical-geography/E07000043,E07000043 North Devon,126
http://statistics.data.gov.uk/id/statistical-geography/E07000044,E07000044 South Hams,204
http://statistics.data.gov.uk/id/statistical-geography/E07000045,E07000045 Teignbridge,175
http://statistics.data.gov.uk/id/statistical-geography/E07000046,E07000046 Torridge,101
http://statistics.data.gov.uk/id/statistical-geography/E07000047,E07000047 West Devon,149
http://statistics.data.gov.uk/id/statistical-geography/E07000048,E07000048 Christchurch,228
http://statistics.data.gov.uk/id/statistical-geography/E07000049,E07000049 East Dorset,304
http://statistics.data.gov.uk/id/statistical-geography/E07000050,E07000050 North Dorset,215
http://statistics.data.gov.uk/id/statistical-geography/E07000051,E07000051 Purbeck,199
http://statistics.data.gov.uk/id/statistical-geography/E07000052,E07000052 West Dorset,170
http://statistics.data.gov.uk/id/statistical-geography/E07000053,E07000053 Weymouth and Portland,88
http://statistics.data.gov.uk/id/statistical-geography/E07000061,E07000061 Eastbourne,68
http://statistics.data.gov.uk/id/statistical-geography/E07000062,E07000062 Hastings,23
http://statistics.data.gov.uk/id/statistical-geography/E07000063,E07000063 Lewes,179
http://statistics.data.gov.uk/id/statistical-geography/E07000064,E07000064 Rother,132
http://statistics.data.gov.uk/id/statistical-geography/E07000065,E07000065 Wealden,250
http://statistics.data.gov.uk/id/statistical-geography/E07000066,E07000066 Basildon,141
http://statistics.data.gov.uk/id/statistical-geography/E07000067,E07000067 Braintree,210
http://statistics.data.gov.uk/id/statistical-geography/E07000068,E07000068 Brentwood,295
http://statistics.data.gov.uk/id/statistical-geography/E07000069,E07000069 Castle Point,198
http://statistics.data.gov.uk/id/statistical-geography/E07000070,E07000070 Chelmsford,298
http://statistics.data.gov.uk/id/statistical-geography/E07000071,E07000071 Colchester,206
http://statistics.data.gov.uk/id/statistical-geography/E07000072,E07000072 Epping Forest,203
http://statistics.data.gov.uk/id/statistical-geography/E07000073,E07000073 Harlow,69
http://statistics.data.gov.uk/id/statistical-geography/E07000074,E07000074 Maldon,230
http://statistics.data.gov.uk/id/statistical-geography/E07000075,E07000075 Rochford,299
http://statistics.data.gov.uk/id/statistical-geography/E07000076,E07000076 Tendring,81
http://statistics.data.gov.uk/id/statistical-geography/E07000077,E07000077 Uttlesford,311
http://statistics.data.gov.uk/id/statistical-geography/E07000078,E07000078 Cheltenham,214
http://statistics.data.gov.uk/id/statistical-geography/E07000079,E07000079 Cotswold,263
http://statistics.data.gov.uk/id/statistical-geography/E07000080,E07000080 Forest of Dean,164
http://statistics.data.gov.uk/id/statistical-geography/E07000081,E07000081 Gloucester,142
http://statistics.data.gov.uk/id/statistical-geography/E07000082,E07000082 Stroud,255
http://statistics.data.gov.uk/id/statistical-geography/E07000083,E07000083 Tewkesbury,275
http://statistics.data.gov.uk/id/statistical-geography/E07000084,E07000084 Basingstoke and Deane,277
http://statistics.data.gov.uk/id/statistical-geography/E07000085,E07000085 East Hampshire,302
http://statistics.data.gov.uk/id/statistical-geography/E07000086,E07000086 Eastleigh,281
http://statistics.data.gov.uk/id/statistical-geography/E07000087,E07000087 Fareham,315
http://statistics.data.gov.uk/id/statistical-geography/E07000088,E07000088 Gosport,161
http://statistics.data.gov.uk/id/statistical-geography/E07000089,E07000089 Hart,326
http://statistics.data.gov.uk/id/statistical-geography/E07000090,E07000090 Havant,107
http://statistics.data.gov.uk/id/statistical-geography/E07000091,E07000091 New Forest,264
http://statistics.data.gov.uk/id/statistical-geography/E07000092,E07000092 Rushmoor,248
http://statistics.data.gov.uk/id/statistical-geography/E07000093,E07000093 Test Valley,289
http://statistics.data.gov.uk/id/statistical-geography/E07000094,E07000094 Winchester,309
http://statistics.data.gov.uk/id/statistical-geography/E07000095,E07000095 Broxbourne,205
http://statistics.data.gov.uk/id/statistical-geography/E07000096,E07000096 Dacorum,266
http://statistics.data.gov.uk/id/statistical-geography/E07000097,E07000097 East Hertfordshire,313
http://statistics.data.gov.uk/id/statistical-geography/E07000098,E07000098 Hertsmere,222
http://statistics.data.gov.uk/id/statistical-geography/E07000099,E07000099 North Hertfordshire,282
http://statistics.data.gov.uk/id/statistical-geography/E07000100,E07000100 St Albans,316
http://statistics.data.gov.uk/id/statistical-geography/E07000101,E07000101 Stevenage,158
http://statistics.data.gov.uk/id/statistical-geography/E07000102,E07000102 Three Rivers,297
http://statistics.data.gov.uk/id/statistical-geography/E07000103,E07000103 Watford,189
http://statistics.data.gov.uk/id/statistical-geography/E07000104,E07000104 Welwyn Hatfield,238
http://statistics.data.gov.uk/id/statistical-geography/E07000105,E07000105 Ashford,192
http://statistics.data.gov.uk/id/statistical-geography/E07000106,E07000106 Canterbury,163
http://statistics.data.gov.uk/id/statistical-geography/E07000107,E07000107 Dartford,168
http://statistics.data.gov.uk/id/statistical-geography/E07000108,E07000108 Dover,122
http://statistics.data.gov.uk/id/statistical-geography/E07000109,E07000109 Gravesham,143
http://statistics.data.gov.uk/id/statistical-geography/E07000110,E07000110 Maidstone,227
http://statistics.data.gov.uk/id/statistical-geography/E07000111,E07000111 Sevenoaks,279
http://statistics.data.gov.uk/id/statistical-geography/E07000112,E07000112 Shepway,89
http://statistics.data.gov.uk/id/statistical-geography/E07000113,E07000113 Swale,100
http://statistics.data.gov.uk/id/statistical-geography/E07000114,E07000114 Thanet,50
http://statistics.data.gov.uk/id/statistical-geography/E07000115,E07000115 Tonbridge and Malling,268
http://statistics.data.gov.uk/id/statistical-geography/E07000116,E07000116 Tunbridge Wells,246
http://statistics.data.gov.uk/id/statistical-geography/E07000117,E07000117 Burnley,21
http://statistics.data.gov.uk/id/statistical-geography/E07000118,E07000118 Chorley,173
http://statistics.data.gov.uk/id/statistical-geography/E07000119,E07000119 Fylde,235
http://statistics.data.gov.uk/id/statistical-geography/E07000120,E07000120 Hyndburn,40
http://statistics.data.gov.uk/id/statistical-geography/E07000121,E07000121 Lancaster,133
http://statistics.data.gov.uk/id/statistical-geography/E07000122,E07000122 Pendle,41
