FileType,SpecVersion,JC_ID,TermStartDate,TermEndDate,SubURI,SystemIdentifier
Subscription Taken,"2.0",647,2013/01/01,2013/12/31,"uri://kbplus/sub/acs_collection_2013_2015_nesli2",null
publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Journal of Proteome Research ","1535-3893","1535-3907",2002/02/01,1,1,,,,"http://pubs.acs.org/journal/jprobs/index.html ",,"10.1021/issn.1535-3893","","fulltext","","American Chemical Society"
"Journal of the American Chemical Society ","0002-7863","1520-5126",1996/01/10,118,1,,,,"http://pubs.acs.org/journal/jacsat/index.html ",,"","","fulltext","","American Chemical Society"
"Langmuir ","0743-7463","1520-5827",1996/01/10,12,1,,,,"http://pubs.acs.org/journal/langd5/index.html ",,"10.1021/issn.0743-7463","","fulltext","","American Chemical Society"
"Macromolecules ","0024-9297","1520-5835",1996/01/01,29,1,,,,"http://pubs.acs.org/journal/mamobx/index.html ",,"10.1021/issn.0024-9297","","fulltext","","American Chemical Society"
"Molecular Pharmaceutics ","1543-8384","1543-8392",2004/01/01,1,1,,,,"http://pubs.acs.org/journal/mpohbp/index.html ",,"10.1021/issn.1543-8384","","fulltext","","American Chemical Society"
"Nano Letters ","1530-6984","1530-6992",2001/01/01,1,1,,,,"http://pubs.acs.org/journal/nalefd/index.html ",,"10.1021/issn.1530-6984","","fulltext","","American Chemical Society"
"Organic Letters ","1523-7060","1523-7052",1999/01/01,1,1,,,,"http://pubs.acs.org/journal/orlef7/index.html ",,"10.1021/issn.1523-7060","","fulltext","","American Chemical Society"
"Organic Process Research & Development ","1083-6160","1520-586X",1997/01/01,1,1,,,,"http://pubs.acs.org/journal/oprdfk/index.html ",,"10.1021/issn.1083-6160","","fulltext","","American Chemical Society"
"Organometallics ","0276-7333","1520-6041",1996/01/09,15,1,,,,"http://pubs.acs.org/journal/orgnd7/index.html ",,"10.1021/issn.0276-7333","","fulltext","","American Chemical Society"
"The Journal of Organic Chemistry ","0022-3263","1520-6904",1996/01/12,61,1,,,,"http://pubs.acs.org/journal/joceah/index.html ",,"10.1021/issn.0022-3263","","fulltext","","American Chemical Society"
"The Journal of Physical Chemistry A ","1089-5639","1520-5215",1997/01/02,101,1,,,,"http://pubs.acs.org/journal/jpcafh/index.html ",,"10.1021/issn.1089-5639","","fulltext","","American Chemical Society"
"The Journal of Physical Chemistry B ","1520-6106","1520-5207",1997/01/02,101,1,,,,"http://pubs.acs.org/journal/jpcbfk/index.html ",,"10.1021/issn.1520-6106","","fulltext","","American Chemical Society"
"The Journal of Physical Chemistry C ","1932-7447","1932-7455",2007/01/11,111,1,,,,"http://pubs.acs.org/journal/jpccck/index.html ",,"10.1021/issn.1932-7447","","fulltext","","American Chemical Society"
"The Journal of Physical Chemistry Letters","","1948-7185",2010/01/07,1,1,,,,"http://pubs.acs.org/journal/jpclcd/index.html",,"","","fulltext","","American Chemical Society"
