Body name,Body,"Full Property Address","Post Code","Analysis Code of Last 2010 Valuation","NDR - Analysis code description"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","No 16-21 Parking Spaces 159-161, Eastern Avenue West, Romford","RM6 5SD","CP1","Car Parking Space And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Parking Space 45, 159-161, Eastern Avenue West, Chadwell Heath, Romford, Essex","RM6 5SD","CP1","Car Parking Space And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","No 38-41 Parking Spaces 159-161, Eastern Avenue West, Romford","RM6 5SD","CP1","Car Parking Space And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Parking Spaces 22-23, 159-161, Eastern Avenue West, Chadwell Heath, Romford, Essex","RM6 5SD","CP1","Car Parking Space And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Unit A5, Newton Industrial Estate, 159-161, Eastern Avenue, Chadwell Heath, Romford, Essex","RM6 5SD","IF3","Workshop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","No 46-50 Parking Spaces 159-161, Eastern Avenue West, Romford","RM6 5SD","CP1","Car Parking Space And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Unit A1 Block A, 159-161, Eastern Avenue West, Romford","RM6 5SD","IF","Factory And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","No 32-37 Parking Spaces 159-161, Eastern Avenue West, Romford","RM6 5SD","CP1","Car Parking Space And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Units A3 A4 A6 A7 & A8, Newton Industrial Estate, 159-161, Eastern Avenue West, Chadwell Heath, Romford, Essex","RM6 5SD","IF3","Workshop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","No 9-15 Parking Spaces 159-161, Eastern Avenue West, Romford","RM6 5SD","CP1","Car Parking Space And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Unit B1 Block B, 159-161 Eastern Avenue West, Chadwell Heath, Romford, Essex","RM6 5SD","CW","Warehouse And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","No 25-27 Parking Spaces 159-161, Eastern Avenue West, Romford","RM6 5SD","CP1","Car Parking Space And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Unit B2 And B3 Block B, 159-161 Eastern Avenue West, Chadwell Heath, Romford, Essex","RM6 5SD","IF","Factory And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Parking Spaces 42-44, 159-161, Eastern Avenue West, Chadwell Heath, Romford, Essex","RM6 5SD","CP1","Car Parking Space And Premises"
