Body name,Body,"Year","School","Places Available","Applications Received by deadline","Places Offered","Looked After","Exceptional","Special Educational Needs","Sibling","Distance","Notes"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Coppice Primary School",60,99,60,1,0,0,21,38,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Coppice Primary School",90,100,90,0,0,0,32,58,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Coppice Primary School",60,101,61,0,0,0,31,30,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Coppice Primary School",60,116,54,1,0,1,20,32,"0.755"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Cranbrook Primary School",120,499,121,0,0,2,60,59,"0.713"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Cranbrook Primary School",120,416,123,1,0,0,59,63,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Cranbrook Primary School",120,369,120,0,0,0,47,73,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Cranbrook Primary School",120,291,119,0,0,0,35,84,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Cranbrook Primary School",120,300,120,0,0,0,24,96,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Cranbrook Primary School",120,230,91,1,0,0,1,89,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Downshall Primary School",60,185,60,0,0,1,28,31,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Downshall Primary School",86,214,86,0,0,0,32,54,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Downshall Primary School",60,249,60,0,0,0,30,30,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Downshall Primary School",60,283,60,0,0,0,25,35,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Downshall Primary School",60,297,60,1,0,0,31,28,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Downshall Primary School",90,279,90,0,0,0,36,54,"0.249"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Fairlop Primary School",90,239,90,0,0,0,34,56,"1.018"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Fairlop Primary School",90,216,91,0,0,0,24,67,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Fairlop Primary School",90,204,90,0,0,0,32,58,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Fairlop Primary School",90,149,90,0,0,0,36,54,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Fairlop Primary School",90,150,90,0,0,0,29,61,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Fairlop Primary School",90,161,90,0,0,0,45,45,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Farnham Green Primary School",60,117,53,0,1,0,29,23,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Farnham Green Primary School",86,131,57,0,0,1,30,26,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Farnham Green Primary School",60,152,60,0,0,0,33,27,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Farnham Green Primary School",90,163,90,1,0,0,32,57,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Farnham Green Primary School",90,169,92,0,0,0,34,58,""
