Body name,Body,"Year","School","Places Available","Applications Received by deadline","Places Offered","Looked After","Exceptional","Special Educational Needs","Sibling","Distance","Notes"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","South Park Primary School",90,254,90,0,0,0,46,44,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","South Park Primary School",90,192,90,1,0,0,28,61,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","South Park Primary School",90,271,90,0,0,0,46,44,"0.602"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","South Park Primary School",90,270,89,0,0,0,44,45,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Uphall Primary School",120,316,117,0,0,0,59,58,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Uphall Primary School",120,285,120,0,0,2,62,56,"0.412"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Uphall Primary School",120,200,120,0,0,0,60,60,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Uphall Primary School",120,223,120,1,0,0,50,69,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Uphall Primary School",120,271,120,0,0,0,53,67,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Uphall Primary School",120,344,120,0,0,0,69,51,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Wells Primary School",45,196,45,0,0,0,17,28,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Wells Primary School",45,162,44,0,0,0,10,34,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Wells Primary School",45,138,45,0,0,0,15,30,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Wells Primary School",45,148,45,1,0,0,20,24,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Wells Primary School",45,291,45,0,0,0,23,22,"1.011"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Wells Primary School",45,244,45,0,0,0,21,24,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","William Torbitt Primary School",90,231,91,0,0,0,37,54,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","William Torbitt Primary School",90,193,90,0,0,0,40,50,"2.351"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","William Torbitt Primary School",90,180,90,0,0,1,30,59,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","William Torbitt Primary School",90,198,90,0,0,0,43,47,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","William Torbitt Primary School",90,166,91,0,0,0,37,54,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","William Torbitt Primary School",90,224,90,0,0,0,31,59,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Winston Way Primary",90,429,88,0,0,0,46,42,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Winston Way Primary School",90,433,90,0,0,0,36,54,"0.585"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Winston Way Primary School",90,462,90,1,0,1,54,34,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Winston Way Primary School",90,315,90,0,0,0,43,47,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Winston Way Primary School",90,273,90,0,0,0,25,65,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Winston Way Primary School",90,182,77,0,0,0,3,74,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Woodlands Infants' School",120,203,109,0,0,1,42,66,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Woodlands Infants' School",120,244,120,0,0,0,73,47,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Woodlands Infants' School",120,238,120,0,0,1,54,65,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Woodlands Infants' School",120,354,118,0,0,1,63,54,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Woodlands Infants' School",120,259,120,0,0,2,40,78,"1.035"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Woodlands Infants' School",120,307,119,0,0,0,58,61,""
